1	Italian	application/x-vnd.dw-Paladin	787335371
  Dec  Hex  Oct  Code  Description	AsciiWindow		Dec  Esa  Ott  Abbr  Descrizione
 - Missing	ProjectList		- Mancante
%filepath% already exists. Do you want to overwrite it?	Globals		%filepath% esiste già. Vuoi sovrascriverlo?
%library% couldn't be found in the same place as it was under %platform%.	Project		%library% non può essere trovato nello stesso percorso come se fosse sotto %platform%.
%path% is on a read-only disk. Please copy the project to another disk or remount the disk with write support to be able to build it.\n	Paladin		%path% è su un disco a sola lettura. Per favore, copia il progetto su un altro disco o monta il disco in scrittura affinché sia possibile procedere.\n
%path% seems to be missing. Do you want to remove it from the project?	Project		%path% non trovato. Vuoi rimuoverne i riferimenti dal progetto?
%s seems to be missing\n	Project		%s mancante\n
+	ProjectSettingsWindow		+
−	ProjectSettingsWindow		−
A summary of this license is not available.	LicenseManager		Una sintesi di questa licenza non è disponibile.
About Paladin	ProjectWindow		Informazioni su Paladin
Acknowledge	AsciiWindow	ASCII table description	Riconoscimento
Actions	CodeLibWindow		Azioni
Add	CodeLibWindow		Aggiungi
Add a file to the include path list	ProjectSettingsWindow		Aggiungi un file alla lista dei percorsi per le inclusioni
Add files to Module…	CodeLibWindow		Aggiungi file al modulo…
Add files…	ProjectWindow		Aggiungi file…
Add license to project	LicenseManager		Aggiungi licenza al progetto
Add new file	AddNewFileWindow		Aggiungi un nuovo file
Add new file…	ProjectWindow		Aggiungi nuovo file…
Add project files to module…	CodeLibWindow		Aggiungi file di progetto al modulo…
Add selected files to repository	ProjectList		Aggiungi i file selezionati al repository
Add selected files to repository	ProjectWindow		Aggiungi i file selezionati al repository
Add to repository	ProjectWindow		Aggiungi al repository
Anonymous check-out	SCMImportWindow		Check-out come anonimo
Application	ProjectSettingsWindow		Applicazione
Arguments: 	RunArgsWindow		Argomenti:
ASCII table	AsciiWindow		Tabella ASCII
ASCII table	ProjectWindow		Tabella ASCII
Attempting to open %s\n	Paladin		Tentativo di accesso a %s\n
Automatically synchronize modules	PrefsWindow		Sincronizza automaticamente moduli
Automatically synchronize modules in your projects with the those in the code library	PrefsWindow		Sincronizza automaticamente i moduli dei progetti con quelli nella libreria codici.
Backing up project	ProjectWindow		Backup del progetto in corso
Backspace	AsciiWindow	ASCII table description	Backspace
Backup project	ProjectWindow		Backup progetto
Backups folder:	PrefsWindow		Cartella di backup:
Bell	AsciiWindow	ASCII table description	Beep (campanello)
Browse…	PathBox		Seleziona percorso…
Build	PrefsWindow		Build
Build	ProjectWindow		Build
Build debugging information	ProjectSettingsWindow		Effettua il build con informazioni per il debugging
Build failure\n%s	Paladin		Build fallito\n%s
Build had errors or warnings.	ProjectWindow		L'operazione ha prodotto degli errori e degli avvertimenti
Build profiling information	ProjectSettingsWindow		Effettua il build con le informazioni per il profiling
Build successful.	ProjectWindow		Build completato con successo.
Build with just one thread instead of one thread per processor	PrefsWindow		Effettua le operazioni di build con un solo thread invece che un thread per processore.
Building 	ProjectWindow		Build in corso
Building %s\n	Paladin		Build in corso %s\n
Can't find file %s\n	Paladin		Impossibile trovare il file %s\n
Cancel	AddNewFileWindow		Annulla
Cancel	AsciiWindow	ASCII table description	Cancellazione
Cancel	CodeLibWindow		Annulla
Cancel	FindOpenFileWindow		Annulla
Cancel	GetTextWindow		Annulla
Cancel	Globals		Annulla
Cancel	GroupRenameWindow		Annulla
Cancel	ProjectWindow		Annulla
Carriage return	AsciiWindow	ASCII table description	Avanzamento riga (a capo)
Change system libraries…	ProjectWindow		Cambia librerie di sistema…
Check project in	ProjectWindow		Analizza progetto in
Check this if you want to use your program in a debugger during development. You'll want to rebuild your project after change this.	ProjectSettingsWindow		Seleziona se vuoi utilizzare l'applicazione in un debugger durante lo sviluppo. Se cambi questa opzione, dovrai effettuare il rebuild del progetto per applicare le modifiche.
Check this if you want to use your program with gprof or bprof for profiling.	ProjectSettingsWindow		Seleziona se vuoi usare l'applicazione con gprof o bprof per il profiling dell'esecuzione.
Choose a project type	TemplateWindow		Scegli il tipo di progetto
Choose project folder	StartWindow		Scegli cartella di progetto
Choose the name for the new module:	CodeLibWindow		Scegli il nome per il nuovo modulo:
Choose the project files you wish to import. You can select multiple files by clicking on items while holding the Command key (usually ALT).	CodeLibWindow		Scegli i file di progetto da importare. Puoi selezionare più file simultaniamente cliccando su di essi mentre tieni premuto il tasto Comando (in genere ALT).
Choose the source control manager for your project, if any.	TemplateWindow		Scegli, opzionalmente, il tipo di versionamento del codice da utilizzare per il progetto
Choose the system libraries for your project:	LibWindow		Scegli le libreria di sistema da utilizzare nel progetto:
Close	SCMOutputWindow		Chiudi
Code library	CodeLibWindow		Libreria codice
Code Modules:	CodeLibWindow		Moduli codice:
Command resulted in an error.\n	SourceControl		Il comando ha prodotto un errore.\n
Command succeeded. Use 'Import existing project' function in the main window to load the project from the local filesystem\n	SourceControl		Il comando è stato eseguito con successo. Utilizza la funzione 'Importa progetto esistente' dalla finestra principale per caricare il progetto dal file system locale\n
Command:	SCMImportWindow		Comando:
Commit	ProjectWindow		Commit
Common libraries:	LibWindow		Librerie comuni:
Compiler caching is another way to speed up builds	PrefsWindow		La cache del compilatore è un altro modo per velocizzare le operazioni di build.
Compiler optimization level. Disabled when debugging info is checked.	ProjectSettingsWindow		Livello di ottimizzazioni del compilatore. Disabilitato quando si desidera includere le informazioni per il debugging.
Copy list to clipboard	ErrorWindow		Copia la lista negli appunti
Copy to clipboard	ErrorWindow		Copia negli appunti
Couldn't find %file%.	FileUtils		Impossibile trovare %file%.
Couldn't find %filename%. It may have been moved or renamed.	ProjectWindow		Impossibile trovare %filename%. È possibile che sia stato spostato o rinominato.
Couldn't find a partner file for %refname% in %reffolder%/.	Paladin		Impossibile trovare un partner file per %refname% in %reffolder%/.
Create	AddNewFileWindow		Crea
Create a new project	StartWindow		Crea un nuovo progetto
Create both a header and source file	AddNewFileWindow		Crea sia il file header che il file sorgente
Create module	CodeLibWindow		Create module
Create new module…	CodeLibWindow		Crea nuovo modulo…
Create project folder	TemplateWindow		Crea cartella di progetto
Create project…	TemplateWindow		Crea progetto…
Data link escape	AsciiWindow	ASCII table description	Data link escape
Debug	ProjectWindow		Debug
Debugging information needs to compiled into your project. This may take some time for large projects. Do you wish to rebuild and run the debugger?	ProjectWindow		Le informazioni per il debugging devono essere compilate nel progetto. Questa operazione potrebbe richiedere molto tempo per progetti di grandi dimensioni. Desidere procedere con il rebuild ed eseguire il debugger?
Delete	AsciiWindow	ASCII table description	Cancellazione
Delete	CodeLibWindow		Elimina
Delete current module	CodeLibWindow		Elimina modulo corrente
Delete group	ProjectList		Delete group
Delete group	ProjectWindow		Delete group
Description:	CodeLibWindow		Descrizione:
Detected platform from uname: %s\n	Project		Architettura individuata tramite uname: %s\n
Device Control 1	AsciiWindow	ASCII table description	Controllo Dispositivo 1
Device Control 2	AsciiWindow	ASCII table description	Controllo Dispositivo 2
Device Control 3	AsciiWindow	ASCII table description	Controllo Dispositivo 3
Device Control 4	AsciiWindow	ASCII table description	Controllo Dispositivo 4
Device driver	ProjectSettingsWindow		Driver di periferica
Differences	ProjectWindow		Differenze
Directory Init Check failed\n	QuickFindWindow		Directory Init Check failed\n
Don't revert	ProjectWindow		Non ripristinare
DoSearch started\n	QuickFindWindow		DoSearch started\n
Empty build cache	ProjectWindow		Svuota cache dei build
Emptying build cache	ProjectWindow		Pulizia della cache in corso
End of medium	AsciiWindow	ASCII table description	Fine supporto
End of text	AsciiWindow	ASCII table description	Fine testo
End of transmission	AsciiWindow	ASCII table description	Fine trasmissione
End of transmission block	AsciiWindow	ASCII table description	Fine trasferimento blocco
Enquiry	AsciiWindow	ASCII table description	Richiesta informazioni
Enter text to search here:	VRegWindow		Immetti il testo da cercare:
Enter the description for the changes in this revision.	ProjectWindow		Immetti una descrizione per i cambiamenti di questa revisione.
Error window	ProjectWindow		Finestra errori
Errors	ErrorWindow		Errori
Errors and warnings	ErrorWindow		Errori e avvertimenti
Errors and warnings: 	ErrorWindow		Errori e avvertimenti:
Escape	AsciiWindow	ASCII table description	Escape
Examining %file%	ProjectWindow		Analisi di %file% in corso
Examining source files	ProjectWindow		Analisi dei file sorgente
Export module to project	CodeLibWindow		Esporta modulo su progetto
Extra compiler options:	ProjectSettingsWindow		Extra compiler options:
Extra GCC flags you wish included when each file is compiled.	ProjectSettingsWindow		Ulteriori argomenti GCC da includere ad ogni compilazione.
Extra GCC linker flags you wish included when your project is linked.	ProjectSettingsWindow		Alti argomenti del linker di GCC da includere in tutti i linking.
Extra linker options:	ProjectSettingsWindow		Ulteriori opzioni per il linker:
File	ProjectWindow		File
File separator	AsciiWindow	ASCII table description	Separatore file
File to build a program with Paladin	FileUtils		File per compilare un programma con Paladin
Files in Module:	CodeLibWindow		File nel modulo:
Find	FindWindow		Cerca
Find and open file	FindOpenFileWindow		Cerca e apri file
Find and open file…	ProjectWindow		Cerca e apri file…
Find files: 	QuickFindWindow		Find files: 
Find in project	FindWindow		Cerca nel progetto
Find in project files…	ProjectWindow		Cerca nei file di progetto…
Force file rebuild	ProjectList		Forza il rebuild del file
Force project to rebuild	ProjectWindow		Forza il rebuild del progetto
Form feed	AsciiWindow	ASCII table description	Pulizia schermo
Found: %s\n	QuickFindWindow		Found: %s\n
Full	ProjectSettingsWindow		Completa
Full version:	LicenseManager		Versione completa:
General	PrefsWindow		Generali
General	ProjectSettingsWindow		Generale
Generate makefile	ProjectWindow		Genera makefile
Git	PrefsWindow		Git
